annual_inspection_expiration,car_name,cards_unit,cltc_pure_electricity_endurance_mileage,configuration_highlights_text,drive_mode,engine,fuel_type,gearbox,insurance_expiration,price,price_tax,release_time,standard_capacity,standard_fast_charge,standard_slow_charge,transfer_times,vehicle_color,vehicle_level,warranty_expiration
2025-08,蔚来ES6 2023款 75kWh,3.4万公里／2023-08／合肥／2年黄金会员,490km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 490马力 ,纯电动,自动,2025-08,21.98,36.69万,2025-03-03,75kwh,-小时,-小时,1次（以车辆登记证为准）,蓝色,中型SUV,-
2026-12,岚图梦想家 2022款 0碳版 梦+智享包 475km,1.8万公里／2022-12／合肥／2年黄金会员,475km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 435马力 ,纯电动,自动,2025-12,22.98,47.75万,2025-03-06,82kwh,0.75小时,10小时,0次（以车辆登记证为准）,红/紫色,,-
2025-06,蔚来ET5 2022款 75kWh,2.8万公里／2023-06／合肥／2年黄金会员,560km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,双电机四驱,纯电动 490马力 ,纯电动,自动,2025-06,18.58,32.35万,2025-03-07,75kwh,0.5小时,-小时,0次（以车辆登记证为准）,银/灰色,中型车,-
2026-10,阿维塔07 2024款 Max增程版,0.7万公里／2024-10／合肥／2年黄金会员,230km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/后排出风口,后置后驱,增程式 156马力 ,增程式,自动,2025-10,19.98,26.04万,2025-03-07,39kwh,0.25小时,7小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2026-09,Model X 2023款 双电机全轮驱动版,0.17万公里／2024-09／合肥／1年会员,700km,,双电机四驱,纯电动 670马力 ,纯电动,自动,2025-09,56.60,78.69万,2025-03-12,100kwh,1小时,10小时,0次（以车辆登记证为准）,白色,中大型SUV,-
2027-2,红旗HS3 PHEV 2024款 PHEV 115km 劲为版,0.01万公里／2025-02／合肥／3年黄金会员,115km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/后排出风口,前置前驱,1.5T 169马力 L4 ,插电混动,自动,2026-2,12.50,17.35万,2025-03-09,18kwh,0.5小时,2.6小时,0次（以车辆登记证为准）,黑色,紧凑型SUV,-
2025-11,红旗E-HS9 2022款 690km 旗享版 六座,1.8万公里／2023-11／合肥／3年黄金会员,690km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 435马力 ,纯电动,自动,2025-11,27.80,67.28万,2025-03-12,120kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,大型SUV,-
2025-9,红旗E-HS9 2022款 690km 旗享版 六座,1.5万公里／2023-09／合肥／3年黄金会员,690km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 435马力 ,纯电动,自动,2025-9,27.80,67.28万,2025-03-12,120kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,大型SUV,-
2025-11,红旗E-QM5 2022款 431km 充电乐享版,0.3万公里／2023-11／合肥／3年黄金会员,431km,主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/蓝牙/车载电话/车联网/OTA升级/车内PM2.5过滤装置/后排出风口,前置前驱,纯电动 190马力 ,纯电动,自动,2025-11,8.00,18.00万,2025-03-09,54kwh,0.5小时,-小时,0次（以车辆登记证为准）,黑色,中型车,-
2026-10,宋Pro新能源 2025款 第二代 DM-i 115KM超越型,0.2万公里／2024-10／合肥／9年黄金会员,115km,车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/后排出风口,前置前驱,1.5L 101马力 L4 ,插电混动,自动,2025-10,9.28,14.42万,2025-01-30,18kwh,-小时,-小时,0次（以车辆登记证为准）,白色,紧凑型SUV,-
2025-1,秦PLUS 2023款 冠军版 DM-i 120KM领先型,0.43万公里／2023-07／合肥／3年黑金会员,101km,,前置前驱,1.5L 110马力 L4 ,插电混动,自动,2024-1,9.06,13.66万,2025-03-11,18kwh,-小时,-小时,0次（以车辆登记证为准）,其它,紧凑型车,-
2026-12,享界S9 2024款 Ultra 四驱旗舰版,0.01万公里／2024-12／合肥／3年钻石会员,721km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 530马力 ,纯电动,自动,2024-12,38.60,48.82万,2025-02-05,100kwh,0.25小时,11小时,0次（以车辆登记证为准）,黑色,中大型车,-
2026-6,理想L6 2024款 Pro,1.35万公里／2024-06／合肥／2年黑金会员,212km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,增程式 154马力 ,增程式,自动,2025-6,20.50,27.12万,2025-03-09,37kwh,0.33小时,6小时,0次（以车辆登记证为准）,白色,中大型SUV,-
2025-06,江淮iEV6E 2019款 升级版 iEV6E 豪华智能型,8.5万公里／2019-06／合肥／4年黄金会员,310km,ISOFIX儿童座椅接口/倒车影像/蓝牙/车载电话/手机互联/映射/车内PM2.5过滤装置,前置前驱,纯电动 75马力 ,纯电动,自动,2025-06,2.09,6.78万,2025-03-03,35kwh,0.67小时,,1次（以车辆登记证为准）,白色,微型车,-
2026-11,江淮iC5 2020款 豪华尊贵版,13.9万公里／2020-11／合肥／4年黄金会员,530km,ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/后排出风口,前置前驱,纯电动 193马力 ,纯电动,自动,2025-11,4.59,17.37万,2025-03-11,65kwh,0.75小时,9小时,1次（以车辆登记证为准）,蓝色,紧凑型车,-
2027-01,吉利几何E萤火虫 2023款 401KM 玲珑虎 5座,1.6万公里／2023-01／合肥／8年黄金会员,401km,ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/蓝牙/车载电话/车联网/车内PM2.5过滤装置,前置前驱,纯电动 82马力 ,纯电动,自动,2026-01,4.98,10.62万,2025-02-22,39kwh,0.5小时,6.5小时,0次（以车辆登记证为准）,白色,小型SUV,-
2026-09,思皓E50A 2022款 出行版,5万公里／2022-09／合肥／6年钻石会员,460km,ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/后排出风口,前置前驱,纯电动 193马力 ,纯电动,自动,2025-09,5.68,18.66万,2025-02-05,50kwh,-小时,-小时,0次（以车辆登记证为准）,白色,紧凑型车,-
2026-12,海鸥 2024款 荣耀版 305km 活力版,0.14万公里／2024-12／合肥／6年钻石会员,305km,ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/蓝牙/车载电话/车联网/OTA升级,前置前驱,纯电动 75马力 ,纯电动,自动,2025-12,6.58,7.58万,2025-02-16,30kwh,0.5小时,-小时,0次（以车辆登记证为准）,蓝色,小型车,-
2026-01,江淮iEV6E 2019款 升级版 iEV6E 豪华智能型,5万公里／2019-01／合肥／6年钻石会员,310km,ISOFIX儿童座椅接口/倒车影像/蓝牙/车载电话/手机互联/映射/车内PM2.5过滤装置,前置前驱,纯电动 75马力 ,纯电动,自动,2026-01,2.20,6.78万,2025-02-21,35kwh,0.67小时,,0次（以车辆登记证为准）,白色,微型车,-
2026-01,江淮iEVA50 2018款 豪华型,8万公里／2019-01／合肥／6年钻石会员,310km,ISOFIX儿童座椅接口/后排出风口,前置前驱,纯电动 116马力 ,纯电动,自动,2026-01,2.30,19.94万,2025-02-21,47kwh,0.67小时,7.5小时,0次（以车辆登记证为准）,白色,紧凑型车,-
2025-09,江淮iEVS4 2019款 豪华智享型,6万公里／2019-09／合肥／6年钻石会员,402km,ISOFIX儿童座椅接口/倒车影像/自动驻车/定速巡航/无钥匙启动系统/无钥匙进入系统/全液晶仪表盘/蓝牙/车载电话/车联网/转向辅助灯/车内氛围灯/车内PM2.5过滤装置,前置前驱,纯电动 150马力 ,纯电动,自动,2025-09,4.80,15.14万,2025-02-21,61kwh,0.5小时,10.5小时,0次（以车辆登记证为准）,蓝色,小型SUV,-
2026-01,长安CS15EV 2018款 350e,6万公里／2019-01／合肥／6年钻石会员,300km,ISOFIX儿童座椅接口/蓝牙/车载电话,前置前驱,纯电动 75马力 ,纯电动,自动,2026-01,2.60,8.67万,2025-02-21,43kwh,,,0次（以车辆登记证为准）,白色,小型SUV,-
2025-12,江淮iEV6E 2018款 升级版 iEV6E 豪华智能型,4万公里／2018-12／合肥／6年钻石会员,255km,ISOFIX儿童座椅接口/倒车影像/蓝牙/车载电话/手机互联/映射,前置前驱,纯电动 68马力 ,纯电动,自动,2025-12,1.95,13.95万,2025-02-26,29kwh,1小时,11.5小时,0次（以车辆登记证为准）,白色,微型车,-
2026-7,宝马i5 2024款 eDrive 35L M运动套装,0.26万公里／2024-07／合肥／2年黑金会员,567km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/后排出风口,后置后驱,纯电动 286马力 ,纯电动,自动,2025-7,28.60,47.75万,2025-02-26,79kwh,0.53小时,8.25小时,0次（以车辆登记证为准）,黑色,中大型车,-
2026-08,宋L DM-i 2024款 112km 超越型,0.28万公里／2024-08／合肥／6年黑金会员,112km,,前置前驱,1.5L 101马力 L4 ,插电混动,自动,2025-08,10.98,16.91万,2025-03-11,18kwh,0.38小时,-小时,0次（以车辆登记证为准）,白色,中型SUV,-
2026-11,问界M7 2024款 1.5T 智驾四驱Max版 5座,0.01万公里／2024-11／合肥／12年黑金会员,210km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,增程式 152马力 ,增程式,自动,2025-11,25.50,33.63万,2025-03-10,40kwh,0.5小时,5小时,0次（以车辆登记证为准）,银/灰色,中大型SUV,-
2026-04,唐新能源 2024款 DM-i 荣耀版 112KM 旗舰型,0.2万公里／2024-04／合肥／1年黄金会员,95km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2025-04,14.38,21.69万,2025-02-26,22kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,中型SUV,-
2026-04,唐新能源 2024款 DM-p 冠军版 215KM 四驱旗舰型,0.2万公里／2024-04／合肥／7年黄金会员,189km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置四驱,1.5T 139马力 L4 ,插电混动,自动,2025-04,16.80,31.46万,2025-03-09,46kwh,0.33小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2030-01,问界M7 2024款 1.5T 智驾后驱Max版 5座,1.49万公里／2024-01／合肥／6年黑金会员,240km,,后置后驱,增程式 152马力 ,增程式,自动,2025-01,21.18,31.46万,2025-03-11,40kwh,0.5小时,5小时,0次（以车辆登记证为准）,黑色,中大型SUV,-
2026-3,宝马iX 2023款 改款 xDrive40,0.27万公里／2024-03／合肥／2年黑金会员,471km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/后排独立空调/后排出风口,双电机四驱,纯电动 326马力 ,纯电动,自动,2025-3,31.80,81.07万,2025-03-09,77kwh,0.68小时,7.5小时,0次（以车辆登记证为准）,黑色,中大型SUV,-
2025-06,唐新能源 2023款 DM-i 冠军版 112KM 尊荣型,2.1万公里／2023-06／合肥／7年黄金会员,95km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/后排出风口,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2025-06,11.50,23.86万,2024-11-26,22kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2026-01,宋L EV 2024款 662km 超越型,1.46万公里／2024-01／合肥／6年黑金会员,662km,,后置后驱,纯电动 313马力 ,纯电动,自动,2025-01,13.58,22.77万,2025-03-11,87kwh,0.42小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2026-9,理想L6 2024款 Pro,0.9万公里／2024-09／合肥／3年钻石会员,212km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,增程式 154马力 ,增程式,自动,2025-9,20.48,27.12万,2025-03-12,37kwh,0.33小时,6小时,0次（以车辆登记证为准）,白色,中大型SUV,-
2025-11,唐新能源 2024款 DM-p 冠军版 215KM 四驱旗舰型,1.5万公里／2023-11／合肥／1年黄金会员,189km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置四驱,1.5T 139马力 L4 ,插电混动,自动,2025-11,16.38,31.46万,2025-03-08,46kwh,0.33小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
