annual_inspection_expiration,car_name,cards_unit,cltc_pure_electricity_endurance_mileage,configuration_highlights_text,drive_mode,engine,fuel_type,gearbox,insurance_expiration,price,price_tax,release_time,standard_capacity,standard_fast_charge,standard_slow_charge,transfer_times,vehicle_color,vehicle_level,warranty_expiration
2026-11,汉 2022款 EV 创世版 715KM前驱尊荣型,5.57万公里／2022-11／南京／1年黑金会员,715km,,前置前驱,纯电动 245马力 ,纯电动,自动,2025-11,14.98,29.50万,2025-03-09,85kwh,0.5小时,-小时,1次（以车辆登记证为准）,白色,中大型车,-
2026-9,宋L DM-i 2024款 112km 超越型,0.39万公里／2024-09／南京／1年黑金会员,112km,,前置前驱,1.5L 101马力 L4 ,插电混动,自动,2025-9,12.96,16.91万,2025-03-09,18kwh,0.38小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2025-5,奥迪Q7新能源 2019款 55 e-tron,10.7万公里／2019-05／南京／14年黑金会员,56km,主动刹车/主动安全系统/ISOFIX儿童座椅接口/倒车影像/自动驻车/定速巡航/电动后备厢/无钥匙启动系统/无钥匙进入系统/方向盘换挡/全液晶仪表盘/蓝牙/车载电话/车联网/转向头灯/自适应远近光/车内氛围灯/防紫外线玻璃/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置四驱,2.0T 252马力 L4 ,插电混动,自动,2025-5,21.98,85.84万,2025-02-15,17kwh,2.5小时,10.8小时,1次（以车辆登记证为准）,黑色,中大型SUV,-
2026-04,海豚 2021款 405km 时尚版,6万公里／2022-04／南京／6年黄金会员,405km,ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/车内PM2.5过滤装置,前置前驱,纯电动 95马力 ,纯电动,自动,2025-04,5.50,12.79万,2025-02-08,45kwh,0.5小时,-小时,1次（以车辆登记证为准）,红/紫色,小型车,-
2027-02,Model 3 2021款 标准续航后驱升级版,9.97万公里／2021-02／南京／1年黄金会员,468km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/后排出风口,后置后驱,纯电动 275马力 ,纯电动,自动,2026-02,11.98,28.95万,2025-03-08,55kwh,1小时,10小时,0次（以车辆登记证为准）,白色,中型车,-
2026-08,汉 2021款 EV 标准续航版豪华型,6万公里／2022-08／南京／8年黄金会员,506km,胎压监测装置/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,前置前驱,纯电动 222马力 ,纯电动,自动,2025-08,11.18,23.86万,2025-03-09,65kwh,0.42小时,-小时,0次（以车辆登记证为准）,银/灰色,中大型车,-
2026-11,小米SU7 2024款 830km 后驱超长续航高阶智驾Pro版,0.5万公里／2024-11／南京／10年钻石会员,830km,,后置后驱,纯电动 299马力 ,纯电动,自动,2025-11,24.98,26.69万,2025-03-11,94kwh,0.5小时,-小时,1次（以车辆登记证为准）,绿色,中大型车,-
2025-10,Taycan 2020款 Taycan,3.9万公里／2021-10／南京／4年钻石会员,414km,胎压监测装置/车道保持辅助系统/车道偏离预警系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/全液晶仪表盘/蓝牙/车载电话/车联网/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 408马力 ,纯电动,自动,2025-10,52.80,96.39万,2025-03-12,79kwh,1.55小时,8小时,0次（以车辆登记证为准）,蓝色,中大型车,-
2026-04,福特电马 2021款 跃世后驱版(标准续航),3.2万公里／2022-04／南京／4年黄金会员,513km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 273马力 ,纯电动,自动,2025-04,,已降1000元,2025-03-12,62kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2025-04,腾势D9 2022款 DM-i 1040 尊贵型,5万公里／2023-04／南京／3年黄金会员,155km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2025-04,23.98,40.79万,2025-03-14,40kwh,0.42小时,-小时,0次（以车辆登记证为准）,黑色,,-
2025-10,Panamera新能源 2017款 Panamera 4 E-Hybrid 行政加长版 2.9T,5.5万公里／2019-10／南京／4年钻石会员,50km,胎压监测装置/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘换挡/蓝牙/车载电话/车联网/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置四驱,2.9T 330马力 V6 ,插电混动,自动,2025-10,63.80,141.65万,2025-03-10,0kwh,-小时,-小时,0次（以车辆登记证为准）,白色,大型车,-
2026-12,极狐 阿尔法S(ARCFOX αS) 2023款 先行版,0.01万公里／2024-12／南京／1年会员,500km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,双电机四驱,纯电动 643马力 ,纯电动,自动,2025-12,16.88,35.80万,2025-01-11,75kwh,0.25小时,6.5小时,0次（以车辆登记证为准）,白色,中大型车,-
2026-03,宝马5系新能源 2022款 535Le 豪华套装,9万公里／2022-03／南京／7年会员,73km,主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/后排出风口,前置后驱,2.0T 184马力 L4 ,插电混动,自动,2025-03,23.50,54.26万,2025-03-13,18kwh,-小时,3.9小时,1次（以车辆登记证为准）,黑色,中大型车,-
2025-08,宝马iX 2023款 M60,0.25万公里／2023-08／南京／12年钻石会员,640km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/后排独立空调/后排出风口,双电机四驱,纯电动 619马力 ,纯电动,自动,2025-08,50.80,107.92万,2025-02-15,112kwh,0.82小时,10.75小时,0次（以车辆登记证为准）,香槟/棕色,中大型SUV,-
2025-12,奥迪Q4 e-tron 2023款 50 e-tron quattro 创享版,2.02万公里／2023-12／南京／13年黑金会员,560km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘换挡/全液晶仪表盘/蓝牙/车载电话/车联网/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 313马力 ,纯电动,自动,2025-12,17.99,39.85万,2025-02-25,85kwh,0.68小时,12小时,0次（以车辆登记证为准）,银/灰色,紧凑型SUV,-
2025-06,腾势D9 2022款 EV 600 四驱旗舰型,3.5万公里／2023-06／南京／3年黄金会员,600km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 374马力 ,纯电动,自动,2025-06,26.58,50.56万,2025-03-05,103kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,,-
2025-05,Model Y 2022款 改款 后轮驱动版,1.9万公里／2023-05／南京／9年黄金会员,545km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 264马力 ,纯电动,自动,2025-05,17.98,28.65万,2025-03-11,60kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2026-03,Model 3 2023款 长续航全轮驱动版,2.3万公里／2024-03／南京／6年会员,713km,,双电机四驱,纯电动 450马力 ,纯电动,自动,2025-03,20.80,29.90万,2025-03-10,78kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,中型车,-
2025-11,蔚来ES8 2020款 580KM 六座版,7.3万公里／2021-12／南京／5年会员,580km,并线辅助/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 544马力 ,纯电动,自动,2024-11,16.88,59.05万,2024-11-23,100kwh,0.8小时,14小时,0次（以车辆登记证为准）,银/灰色,中大型SUV,-
2027-2,海鸥 2025款 305km 活力版,0.01万公里／2025-02／南京／10年钻石会员,305km,,前置前驱,纯电动 75马力 ,纯电动,自动,2025-2,5.68,7.58万,2025-03-05,30kwh,0.5小时,-小时,1次（以车辆登记证为准）,白色,小型车,-
2026-09,Model 3 2022款 Performance高性能全轮驱动版,6.6万公里／2022-09／南京／6年会员,675km,电动吸合门/手机无线充电/无钥匙进入系统/全景摄像头/定速巡航/胎压监测装置/车道偏离预警系统/并线辅助/主动刹车/主动安全系统/车道保持辅助系统,双电机四驱,纯电动 435马力 ,纯电动,自动,2025-09,17.88,36.03万,2024-12-03,78kwh,1小时,10小时,0次（以车辆登记证为准）,黑色,中型车,-
2026-12,汉 2022款 DM-i 121KM 尊荣型,3.4万公里／2022-12／南京／6年黄金会员,101km,胎压监测装置/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2025-12,11.20,24.73万,2025-03-03,18kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,中大型车,-
2026-11,汉 2022款 EV 创世版 610KM四驱尊享型,5.92万公里／2022-11／南京／10年钻石会员,610km,,双电机四驱,纯电动 517马力 ,纯电动,自动,2025-12,12.98,31.57万,2025-02-27,85kwh,0.5小时,-小时,1次（以车辆登记证为准）,银/灰色,中大型车,-
2025-03,Model 3 2021款 Performance高性能全轮驱动版,5.1万公里／2021-03／南京／5年黄金会员,605km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/后排出风口,双电机四驱,纯电动 461马力 ,纯电动,自动,2025-03,16.28,36.90万,2025-03-07,77kwh,1小时,10小时,0次（以车辆登记证为准）,银/灰色,中型车,-
2026-09,海豚 2021款 405km 时尚版,4.8万公里／2022-09／南京／9年黄金会员,405km,ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/车内PM2.5过滤装置,前置前驱,纯电动 95马力 ,纯电动,自动,2025-09,6.18,12.79万,2025-03-04,45kwh,0.5小时,-小时,0次（以车辆登记证为准）,银/灰色,小型车,-
2026-12,海鸥 2025款 305km 活力版,0.02万公里／2024-12／南京／6年黄金会员,305km,ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/蓝牙/车载电话/车联网/OTA升级,前置前驱,纯电动 75马力 ,纯电动,自动,2024-12,5.98,7.58万,2024-12-17,30kwh,0.5小时,-小时,0次（以车辆登记证为准）,白色,小型车,-
2025-12,蔚来ES8 2020款 580KM 七座版,4.2万公里／2021-12／南京／1年黄金会员,580km,并线辅助/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 544马力 ,纯电动,自动,2025-12,16.58,58.18万,2025-03-07,100kwh,0.8小时,14小时,0次（以车辆登记证为准）,黑色,中大型SUV,-
2027-02,宝马i5 2024款 eDrive 35L 尊享型 豪华套装,0.7万公里／未上牌／南京／13年黑金会员,536km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/后排出风口,后置后驱,纯电动 286马力 ,纯电动,自动,2025-02,34.80,50.57万,2025-02-14,79kwh,0.53小时,8.25小时,0次（以车辆登记证为准）,银/灰色,中大型车,-
2025-12,奔驰EQC 2021款 EQC 350 4MATIC,1.93万公里／2021-12／南京／12年会员,415km,胎压监测装置/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘换挡/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,双电机四驱,纯电动 286马力 ,纯电动,自动,2025-12,14.55,54.25万,2025-03-10,79kwh,,,1次（以车辆登记证为准）,黑色,中型SUV,-
2027-01,奔驰EQS 2022款 450+ 先锋版,7.3万公里／2023-01／邯郸／2年会员,849km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/方向盘换挡/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 333马力 ,纯电动,自动,2026-01,29.88,117.19万,2025-02-28,112kwh,0.62小时,,0次（以车辆登记证为准）,银/灰色,大型车,-
2026-05,蔚来ET7 2022款 100kWh 首发版,6.1万公里／2022-05／南京／5年黄金会员,675km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 653马力 ,纯电动,自动,2025-05,17.98,58.18万,2025-02-26,100kwh,0.6小时,14小时,0次（以车辆登记证为准）,黑色,中大型车,-
2024-8,汉 2022款 DM-i 121KM 尊享型,1.85万公里／2022-08／南京／1年黑金会员,101km,,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2024-8,10.98,25.81万,2025-02-13,18kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,中大型车,-
2025-06,Model 3 2023款 后轮驱动版,1.9万公里／2023-06／南京／3年会员,606km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/后排出风口,后置后驱,纯电动 264马力 ,纯电动,自动,2025-06,15.98,25.17万,2025-03-12,60kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,中型车,-
2027-01,宝马iX 2022款 M60,0.6万公里／2023-01／南京／13年黑金会员,566km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/后排独立空调/后排出风口,双电机四驱,纯电动 619马力 ,纯电动,自动,2026-01,49.80,108.21万,2025-02-15,112kwh,0.82小时,10.75小时,0次（以车辆登记证为准）,红/紫色,中大型SUV,-
2025-10,宝马iX 2023款 xDrive40,0.65万公里／2023-10／南京／8年钻石会员,471km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/全景摄像头/ISOFIX儿童座椅接口/主动刹车/主动安全系统/定速巡航/中央差速器锁止/电动后备厢/感应后备厢/无钥匙启动系统/无钥匙进入系统/内置行车记录仪/手机无线充电/蓝牙/车载电话/手机互联/映射/车联网/OTA升级/转向辅助灯/转向头灯/车内氛围灯/220V/230V电源/后排独立空调/后排出风口/自适应巡航/防紫外线玻璃,双电机四驱,纯电动 326马力 ,纯电动,自动,2025-10,30.98,81.07万,2025-03-05,77kwh,0.68小时,7.5小时,0次（以车辆登记证为准）,银/灰色,中大型SUV,-
2026-04,Panamera新能源 2023款 Panamera 4 E-Hybrid 铂金版 2.9T,1.91万公里／2024-04／南京／5年钻石会员,44km,胎压监测装置/车道保持辅助系统/车道偏离预警系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘换挡/蓝牙/车载电话/车联网/转向辅助灯/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置四驱,2.9T 330马力 V6 ,插电混动,自动,2025-04,87.58,143.61万,2025-02-22,18kwh,-小时,-小时,1次（以车辆登记证为准）,白色,大型车,-
2027-02,汉 2025款 DM-i 125KM尊荣型,0.1万公里／2025-02／南京／2年黄金会员,125km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,前置前驱,1.5T 156马力 L4 ,插电混动,自动,2026-02,15.58,21.25万,2025-03-05,0kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,中大型车,-
2026-02,宝马iX1 2023款 xDrive30L M运动套装,0.98万公里／2024-02／南京／8年钻石会员,450km,胎压监测装置/车道保持辅助系统/车道偏离预警系统/ISOFIX儿童座椅接口/倒车影像/定速巡航/电动后备厢/无钥匙启动系统/全液晶仪表盘/车联网/220V/230V电源/转向辅助灯/转向头灯/后排出风口,双电机四驱,纯电动 313马力 ,纯电动,自动,2025-02,15.98,36.90万,2025-02-16,66kwh,0.53小时,7小时,0次（以车辆登记证为准）,银/灰色,紧凑型SUV,-
2026-01,理想ONE 2021款 增程6座版,5.6万公里／2022-01／南京／4年黄金会员,148km,,双电机四驱,增程式 131马力 ,增程式,自动,2026-01,17.28,37.97万,2025-02-08,41kwh,0.5小时,6小时,0次（以车辆登记证为准）,绿色,中大型SUV,-
2026-05,Model Y 2022款 后轮驱动版,5.5万公里／2022-05／南京／4年会员,545km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 264马力 ,纯电动,自动,2025-05,18.58,34.40万,2025-02-26,60kwh,-小时,-小时,0次（以车辆登记证为准）,白色,中型SUV,-
2025-04,Model 3 2021款 标准续航后驱升级版,6.5万公里／2021-04／南京／4年会员,468km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/后排出风口,后置后驱,纯电动 275马力 ,纯电动,自动,2025-04,10.88,28.95万,2025-03-14,55kwh,1小时,10小时,0次（以车辆登记证为准）,黑色,中型车,-
2026-04,Model Y 2022款 后轮驱动版,3.4万公里／2022-04／南京／4年会员,545km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 264马力 ,纯电动,自动,2025-04,14.58,34.40万,2025-03-14,60kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,中型SUV,-
2027-02,小米SU7 2024款 830km 后驱超长续航高阶智驾Pro版,0.01万公里／2025-02／南京／5年黄金会员,830km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 299马力 ,纯电动,自动,2026-02,26.09,26.69万,2025-03-03,94kwh,0.5小时,-小时,0次（以车辆登记证为准）,红/紫色,中大型车,-
2025-10,福特电马 2021款 GT,0.01万公里／2023-10／南京／4年黄金会员,492km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,双电机四驱,纯电动 488马力 ,纯电动,自动,2025-10,,已降1000元,2025-02-22,80kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,中型SUV,-
